no,항목분류,질환명(한글),질환명(영문),관련질환명,증상,원인,진단,치료
1,피부 및 피부밑조직의 질환(L00-L99),(무한성) 외배엽형성이상,Ectodermal dysplasia (anhidrotic),"EEC 증후군,AEC 증후군,Rapp-Hodgkin 증후군,Hay-Wells 증후군,","모발 형성이상, 발한 장애, 손발톱 형성이상, 치아의 이상, 피부의 이상","여러 가지 유전자(EDA, GJB6, TP63, EDARADD 등)의 돌연변이로 인한 에크린한선의 저형성, 모낭의 수 감소 ","특징적인 임상증상 ,  유전자 분석 ,  피부 조직 검사","고온 누출 회피 ,  치과적 치료 ,  인공 눈물 ,  감염에 대한 항생제 치료"
2,"선천 기형,변형 및 염색체 이상(Q00-Q99)",(이상형태성) 태아알콜증후군,Fetal alcohol syndrome (dysmorphic),"(추형) 태아 알코올 증후군(태아알코올증후군)(Fetal alcohol syndrome (dysmorphic)),알코올의 태아 영향(Fetal Effects of Alcohol),알코올과 관련된 선천성 결함(Alcohol-Related Birth Defects),알코올성 배아병증(Alcoholic Embryopathy),태아알코올증후군(FAS(Fetal Alcohol Syndrome)),","관절이상, 구개열, 구순열, 사시, 소두증, 소안구증, 소하악증(작은턱), 심장기형, 안검하수증, 행동 및 학습장애",임신 중 알코올을 섭취,특별한 진단 검사는 없으나 신체적으로 나타나는 몇가지 증상들을 기본으로 진단,"대증요법, 지지요법,  수술요법"
3,근육골격계통 및 결합조직의 질환(M00-M99),(혈청검사음성인) 연소성 다발관절염,Juvenile polyarthritis (seronegative),"연소기 특발성 관절염,다수 관절염,","조조강직, 관절염",특별한 원인이 없는 만성 류마티스 질환,"혈액검사 및 류마티스 인자 검사, 방사선검사","약물치료 (비스테로이드성 소염제, 항 류마티스제, 면역 억제제), 물리치료, 수술적 치료"
4,"선천 기형,변형 및 염색체 이상(Q00-Q99)",10단완삼염색체증,Trisomy 10p,"complete trisomy 10p,pure trisomy 10p  ,","돌출된 이마, 큰 봉합선, 큰 대천문, 구순/구개열. 심장기형, 신기형, 근긴장저하",염색체 10번 단완의 부분 또는 전체의 중복  ,"염색체 검사, FISH ","기형에 대한 수술적치료, 특수교육 "
5,"선천 기형,변형 및 염색체 이상(Q00-Q99)",10번 단완 결손증[10번 짧은팔 홑염색체증],Monosomy 10p,"10p Deletion Syndrome (Partial),Chromosome 10, 10p- Partial,Chromosome 10, Partial Deletion (short arm),DiGeorge syndrome, type 2,Partial DiGeorge syndrome,","양안격리증, 안검하수증, 사시, 구개열, 발의 기형, 심장 결함 등",10번 염색체 단완 말단 부분의 결손,"염색체 검사, 태아 초음파, 임상적, 신체적 평가","대증적인 증상에 따른 치료, 의료팀의 협의진료 체계, 유전상담"
6,"선천 기형,변형 및 염색체 이상(Q00-Q99)",10번 장완 세염색체증,"Chromosome 10, Distal Trisomy 10q","Chromosome 10, Partial Trisomy 10q24-qter,Chromosome 10, Trisomy 10q2,Distal Duplication 10q,Distal Trisomy 10q Syndrome,Dup(10q) Syndrome ,","정신·운동·언어 지체, 근육긴장저하, 심장·신장 결손, 척추측만증, 손·발가락기형, 납작한 코, 아치형의 눈썹, 작고 쳐진 귀",10번 염색체의 장완의 말단 부위의 중복,"초음파, 양수천자 또는 융모막 검체를 통한 염색체 검사","증상 개선 치료, 전문분야별 협의진료, 특수교육, 다각적인 지지 요법"
7,"선천 기형,변형 및 염색체 이상(Q00-Q99)",13번 고리염색체 증후군,13 ring chromosome syndrome,",","정신발달의 지체, 성장 장애, 안면부 기형, 중추신경계 기형, 심장기형, 손발의 기형, 골격계 기형 및 항문기형 ","13번 고리염색체 증후군은 13번 염색체의 말단부(telomere) 소실 후, 두 절단 부위가 환을 형성하면서 다시 합쳐지는 염색체 질환 ",염색체 핵형 분석,특수치료법은 없으나 동반증상에 대한 치료 
8,"선천 기형,변형 및 염색체 이상(Q00-Q99)",13삼염색체증후군,Trisomy 13 Syndrome,"완전형 13번 삼염색체(Chromosome 13, Trisomy 13 Complete), 13번 완전삼염색체 증후군( Complete Trisomy 13 Syndrome), D 삼염색체 증후군( D Trisomy Syndrome), 파타우 증후군( Patau Syndrome),","발달 지연, 정신 지체, 구순열, 구개열, 잠복고환증, 손가락과 발가락 기형, 머리와 얼굴의 기형(소하악증, 소두증, 전전뇌증), 소안구증. 홍채결손, 망막이형성증, 내안각주름, 수두증, 통앞뇌증, 척수막탈출증, 동맥관열림증, 우심증, 말굽콩팥, 골격 이상  ",13번 염색체의 이상(13번 염색체 3개 존재) ,"태아 초음파 촬영술 상 선천성 기형의심,  산전 태아 염색체 검사(양수천자 등),  출생 후 신체 선천성 기형상의 특징,  철저한 임상 검사,  염색체 분석을 통해 확진.","의학전문가로 구성된 팀의 협조적인 노력이 필요,  수술,  유전상담"
9,"선천 기형,변형 및 염색체 이상(Q00-Q99)",14번 염색체의 삼염색체 섞임증,"Chromosome 14, Trisomy Mosaic","14번 삼염색체 섞임증(Trisomy 14 Mosaicism syndrome),","성장지연, 정신지체, 두개 및 안면 기형, 심장질환",유전성 염색체 이상,"초음파검사, 염색체 검사, 심장초음파",증상에 따른 치료
10,"선천 기형,변형 및 염색체 이상(Q00-Q99)",15번 장완 염색체 결실 증후군 ,15q13.3 deletion syndrome,"Del(15)(q13.3),15q13.3 microdeletion syndrome,Monosomy 15q13.3,","발달지연, 언어장애, 인지장애(주로는 경도의 인지장애), 경련, 자폐, 정신이상 등",15번 염색체 장완의 일부 결실,"고식적 핵형분석, 형광제자리부합법, 비교유전자교잡법, 복합결찰의존프로브증폭법",증상에 따른 대증치료 
11,"선천 기형,변형 및 염색체 이상(Q00-Q99)",15번 장완 염색체 미세결실 증후군,15q24 microdeletion syndrome,"Monosomy 15q24,Del(15)(q24),Deletion 15q24,","발달장애, 경도의 지능저하, 경도의 안면기형, 이비인후과/안과적 이상 등",15번 염색체 장완의 미세결실,"형광제자리부합법, 비교유전자교잡법",증상에 따른 대증치료 
